Activity_Period,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight
8/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,129,18318000
8/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,1,171520
8/1/05,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B747,400,16,10080000
8/1/05,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B747,400,31,18815700
8/1/05,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B747,400,13,8190000
8/1/05,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,B737,700,62,7936000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,400,298,36058000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,B737,400,31,3751000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B737,400,89,10769000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,700,35,4522000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,B737,700,1,129200
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B737,700,1,129200
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,900,1,146300
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,3,390000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,-,37,4810000
8/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,-,60,7800000
8/1/05,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B777,200ER,31,14260000
8/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B757,-,200,39600000
8/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B767,200,62,16740000
8/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B767,300,184,57040000
